"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-24 11:36:00,619,83.7,4.58,4,494,72.3,4.42,3,0.499,378,61.3,4.41,4,0.648,599,79.5,4.37,3,0.559,453,68.0,4.22,4,0.596,496,70.5,4.17,5,0.516,2476,2481,1482,1511,1798,1813
2023-07-24 11:37:00,615,84.7,4.59,4,492,68.4,4.30,3,0.619,375,60.1,4.37,4,0.650,594,79.4,4.35,3,0.592,452,66.7,4.19,4,0.524,500,70.2,4.17,5,0.542,2460,2501,1477,1501,1783,1809
2023-07-24 11:38:00,621,84.1,4.61,4,483,68.5,4.33,3,0.666,377,60.2,4.35,4,0.542,601,80.9,4.42,3,0.689,446,67.0,4.16,4,0.664,500,70.2,4.17,5,0.571,2483,2498,1448,1508,1802,1784
2023-07-24 11:39:00,612,85.1,4.58,4,481,68.7,4.38,3,0.610,375,59.9,4.36,4,0.490,597,80.9,4.34,3,0.571,447,66.4,4.16,4,0.682,495,70.6,4.15,5,0.552,2447,2474,1443,1500,1791,1788
2023-07-24 11:40:00,625,85.2,4.59,4,482,69.8,4.32,3,0.615,372,60.0,4.34,4,0.412,591,78.9,4.35,3,0.498,445,65.8,4.23,4,0.701,504,70.2,4.16,5,0.562,2499,2521,1445,1488,1774,1780
2023-07-24 11:41:00,623,84.3,4.60,4,481,69.6,4.33,3,0.648,366,60.2,4.40,4,0.499,597,78.6,4.43,3,0.384,447,64.7,4.24,4,0.628,506,71.1,4.12,5,0.410,2494,2529,1443,1464,1791,1788
2023-07-24 11:42:00,616,84.3,4.62,4,479,69.9,4.33,3,0.687,370,60.2,4.40,4,0.554,590,79.9,4.39,3,0.415,443,66.4,4.20,4,0.553,501,70.5,4.14,5,0.464,2463,2504,1437,1480,1769,1773
2023-07-24 11:43:00,624,84.8,4.61,4,474,70.1,4.35,3,0.709,361,59.8,4.40,4,0.632,600,74.9,4.40,3,0.654,445,66.1,4.22,4,0.605,506,70.8,4.11,5,0.506,2497,2529,1422,1444,1800,1780
2023-07-24 11:44:00,624,85.5,4.60,4,470,68.4,4.35,3,0.631,363,58.5,4.42,4,0.536,590,80.8,4.38,3,0.727,438,65.0,4.17,4,0.724,502,70.2,4.08,5,0.453,2495,2512,1411,1452,1769,1752
2023-07-24 11:45:00,628,84.9,4.60,4,466,69.2,4.32,3,0.635,363,60.2,4.43,4,0.585,586,79.9,4.37,3,0.701,438,65.1,4.23,4,0.688,501,70.3,4.11,5,0.378,2511,2505,1398,1451,1758,1753
